"year","fl_reg","month","Gag_catch","Gag_harvest","Gag_Discard","Gag_weight"
"2015","1","11",43545.9296091186,33948.0686999186,9597.8609092,104936.854921926
"2015","1","12",0,0,0,0
"2015","1","2",171.13686275,0,171.13686275,0
"2015","1","3",424.83729714,0,424.83729714,0
"2015","1","4",91.311358318,0,91.311358318,0
"2015","1","5",4353.16518307,0,4353.16518307,0
"2015","1","6",44737.300482828,439.04522507,44298.255257758,1150.2984896834
"2015","1","7",9632.54583960372,7482.78993799372,2149.75590161,38823.3322075528
"2015","1","8",27859.8571254374,9544.5214014374,18315.335724,43828.1304795513
"2015","1","9",6786.46538405663,56.7361196566313,6729.7292644,510.625076941007
"2015","2","1",17701.264795891,0,17701.264795891,0
"2015","2","10",95150.2420626843,18924.8405046903,76225.401557994,65826.9720411312
"2015","2","11",284733.200741854,115994.171764987,168739.02897623,552240.342706581
"2015","2","12",23546.72438772,0,23546.72438772,0
"2015","2","2",17231.603049141,0,17231.603049141,0
"2015","2","3",89128.840859168,0,89128.840859168,0
"2015","2","4",14904.001258331,0,14904.001258331,0
"2015","2","5",10752.667594641,0,10752.667594641,0
"2015","2","6",20547.225363563,0,20547.225363563,0
"2015","2","7",84746.8651888983,52648.6969083943,32098.168280504,173946.404993111
"2015","2","8",36103.172500788,4430.66273653287,31672.509764212,13449.1327187464
"2015","2","9",61133.2898786918,5142.23739102177,55991.05248767,15441.0784212028
"2016","1","1",0,0,0,0
"2016","1","10",8790.59527836952,3324.58896390952,5466.00631446,16813.2204985521
"2016","1","11",6642.4912856,0,6642.4912856,0
"2016","1","12",0,0,0,0
"2016","1","2",27936.3975972,0,27936.3975972,0
"2016","1","3",135.7456802,0,135.7456802,0
"2016","1","4",39924.0212001274,2465.33598867742,37458.68521145,9762.73051524628
"2016","1","5",25773.1466365948,5113.65959508485,20659.48704151,17049.9803255273
"2016","1","6",34089.0019163343,19840.2675604013,14248.734355933,99619.6782447745
"2016","1","7",49665.7660165325,4812.95735741154,44852.808659121,21417.1314948593
"2016","1","8",10329.9054924854,215.285939655378,10114.61955283,708.290741453202
"2016","1","9",3459.80478021712,1393.63917780812,2066.165602409,6431.27205379743
"2016","2","1",14395.433819286,0,14395.433819286,0
"2016","2","10",11117.993528347,0,11117.993528347,0
"2016","2","11",158689.216598076,18851.2979318594,139837.918666076,72442.2748562739
"2016","2","12",127911.525395651,57801.8474531474,70109.677942504,243485.447917914
"2016","2","2",7080.07531493,0,7080.07531493,0
"2016","2","3",84634.606474702,0,84634.606474702,0
"2016","2","4",48033.840149288,0,48033.840149288,0
"2016","2","5",433160.001069436,0,433160.001069436,0
"2016","2","6",76637.677509491,20856.3691291507,55781.3083803403,78526.1467997908
"2016","2","7",148471.187835216,49251.8297317257,99219.358103483,213171.071618943
"2016","2","8",10905.5792934997,20.6724349246567,10884.906858575,58.7715650009705
"2016","2","9",69538.6075951862,12257.6097958441,57280.997799342,55469.9501399638
"2017","1","1",0,0,0,0
"2017","1","10",98087.0512040348,7083.10449293074,91003.946711104,22762.4871749038
"2017","1","11",26343.5016284714,6963.51476220139,19379.98686627,29420.8498710145
"2017","1","12",43698.3828169,0,43698.3828169,0
"2017","1","2",76396.8160288,0,76396.8160288,0
"2017","1","3",47205.49481724,0,47205.49481724,0
"2017","1","4",106487.639856664,6029.50239477135,100458.13746068,20580.7015082784
"2017","1","5",183118.775453762,38486.1986832917,144632.57677047,139357.109707917
"2017","1","6",326259.718482942,62195.8825915499,264063.835891801,213482.732860377
"2017","1","7",30816.1910118208,1091.22371000078,29724.96730182,4802.93737717929
"2017","1","8",20605.41667498,576.38261254,20029.03406244,2899.2045410762
"2017","1","9",3946.79724338367,1833.01524533967,2113.781998044,8975.34037330293
"2017","2","1",21838.725342198,0,21838.725342198,0
"2017","2","10",21254.5014270535,481.595506526467,20772.905920527,2958.84417671286
"2017","2","11",211537.770382712,27013.7074512396,184524.062931879,102218.3763403
"2017","2","12",741855.535627525,65516.7956156516,676338.74001285,291714.972590626
"2017","2","2",55720.11942738,0,55720.11942738,0
"2017","2","3",43457.442543286,0,43457.442543286,0
"2017","2","4",43318.3103090895,1059.3585463,42258.9517627895,1800.90952871
"2017","2","5",71528.5346700699,1159.1365433519,70369.398126718,3546.95782285885
"2017","2","6",81825.791296262,6506.48698803303,75319.304308229,23507.9554788703
"2017","2","7",27937.9509258964,5739.07862780442,22198.872298092,31583.2040465754
"2017","2","8",8162.74016383,3257.75889054,4904.98127329,12140.7883848482
"2017","2","9",20194.2008449419,146.90788122086,20047.292963721,429.399718573946
"2018","1","1",0,0,0,0
"2018","1","10",6829.520354555,0,6829.520354555,0
"2018","1","11",14810.0201016,0,14810.0201016,0
"2018","1","12",7945.87973599,0,7945.87973599,0
"2018","1","2",0,0,0,0
"2018","1","3",106.25807527,0,106.25807527,0
"2018","1","4",20079.13295712,4261.0349328,15818.09802432,16930.512132992
"2018","1","5",16430.8641204398,1395.76009149983,15035.10402894,5540.17636516884
"2018","1","6",390142.787599158,45126.1009016078,345016.68669755,177045.373628161
