"year","fl_reg","month","RS_catch","RS_harvest","RS_Discard","RS_weight"
"2010","1","6",812738.403500816,261962.374919568,550776.028579662,415457.404927318
"2010","1","7",126032.47238643,41046.154833568,84986.317552869,113818.796288776
"2010","1","8",74268.712974204,0,74268.712974204,0
"2010","1","9",206568.6533755,0,206568.6533755,0
"2010","2","1",0,0,0,0
"2010","2","10",3256.82063031,3256.82063031,0,11962.5526997925
"2010","2","11",22139.7469304,0,22139.7469304,0
"2010","2","12",169.19235174,0,169.19235174,0
"2010","2","2",0,0,0,0
"2010","2","3",0,0,0,0
"2010","2","4",63864.9742276,0,63864.9742276,0
"2010","2","5",43975.45294502,0,43975.45294502,0
"2010","2","6",0,0,0,0
"2010","2","7",3728.31358683541,1842.34357691541,1885.97000992,5357.50292962583
"2010","2","8",537.04945608,0,537.04945608,0
"2010","2","9",2035.9538994,1357.3025996,678.6512998,6671.142277034
"2011","1","1",3698.689080838,0,3698.689080838,0
"2011","1","10",68857.407013253,0,68857.407013253,0
"2011","1","11",20635.964462337,10682.650476,9953.313986337,17702.9526099179
"2011","1","12",94536.6277958158,0,94536.6277958158,0
"2011","1","2",3257.332487436,0,3257.332487436,0
"2011","1","3",332769.15677102,2817.6117889,329951.54498212,3888.304268682
"2011","1","4",437795.1793204,0,437795.1793204,0
"2011","1","5",198787.726732566,0,198787.726732566,0
"2011","1","6",1286428.7724729,588678.677901181,697750.094571653,1389289.72120549
"2011","1","7",441608.276098839,145108.894046519,296499.38205232,309330.172238166
"2011","1","8",112777.678166274,0,112777.678166274,0
"2011","1","9",234212.838863146,35.948913315,234176.889949831,93.467174619
"2011","2","1",0,0,0,0
"2011","2","10",0,0,0,0
"2011","2","11",0,0,0,0
"2011","2","12",3532.9774904,0,3532.9774904,0
"2011","2","2",1840.45736439,0,1840.45736439,0
"2011","2","3",0,0,0,0
"2011","2","4",1469443.10781,0,1469443.10781,0
"2011","2","5",1269.2637496,1269.2637496,0,7209.418097728
"2011","2","6",0,0,0,0
"2011","2","7",29722.17823642,15120.92509888,14601.25313754,38774.20835472
"2011","2","8",13000.973916,0,13000.973916,0
"2011","2","9",0,0,0,0
"2012","1","1",97050.6220014704,0,97050.6220014704,0
"2012","1","10",64389.824259052,369.301391836,64020.522867216,1001.5209205287
"2012","1","11",57447.633430905,0,57447.633430905,0
"2012","1","12",313359.047353143,11919.8703438,301439.177009343,36315.871647444
"2012","1","2",3.5985721672,0,3.5985721672,0
"2012","1","3",188816.627739351,0,188816.627739351,0
"2012","1","4",669815.306967362,0,669815.306967362,0
"2012","1","5",201492.766016636,123.256845841,201369.509170795,381.70970630747
"2012","1","6",1237855.97124421,525999.77298795,711856.198252474,1446610.29695646
"2012","1","7",512037.618727471,249842.364734463,262195.25399286,825348.469995334
"2012","1","8",146162.553405944,56.254363138,146106.299042806,149.63660594708
"2012","1","9",81009.647942245,141.09974823,80868.548194015,425.65778089225
"2012","2","1",0,0,0,0
"2012","2","10",0,0,0,0
"2012","2","11",0,0,0,0
