"year","fl_reg","month","RG_catch","RG_harvest","RG_Discard","RG_weight"
"2007","1","11",30189.7846453952,9125.18191114622,21064.602734249,41262.0940389856
"2007","1","12",24066.7651606,14533.8562903,9532.9088703,55277.726862264
"2007","1","2",19920.5806799482,1135.12551916806,18785.4551607801,2187.86948906584
"2007","1","3",88882.6764456287,30412.5156817687,58470.16076386,104507.366240362
"2007","1","4",306262.900026877,21695.6792424148,284567.220784462,82025.1802723569
"2007","1","5",31578.6261577198,11327.9355451218,20250.690612598,32329.3597245247
"2007","1","6",118079.693690408,46916.948927678,71162.7447627,144821.429064739
"2007","1","7",48903.8446282437,16394.6120831267,32509.232545117,53427.0729358939
"2007","1","8",200577.446494927,34727.5708788353,165849.875616151,112263.172026878
"2007","1","9",41029.3353255509,15143.5420823724,25885.793243192,54685.7765512539
"2007","2","1",45539.014556935,3491.801446346,42047.213110589,10010.7229183302
"2007","2","10",44765.2521129745,2010.80393244453,42754.44818053,7470.89566058824
"2007","2","11",41612.6318949248,473.722848475843,41138.909046442,1614.21316706236
"2007","2","12",373445.07434517,16387.274241281,357057.800103889,44210.5798482927
"2007","2","2",25975.801834277,0,25975.801834277,0
"2007","2","3",26468.3478683471,1423.00439060213,25045.343477745,7451.80564148711
"2007","2","4",40737.5487662891,11295.7594281557,29441.789338011,26827.0168700916
"2007","2","5",9967.64344614423,4154.93864050423,5812.70480564,9196.26419114084
"2007","2","6",106187.280753457,5011.67848516719,101175.60226829,15027.9297827234
"2007","2","7",210741.817840031,43031.702009763,167710.1158298,136612.24041182
"2007","2","8",71804.5081632794,14440.3170967994,57364.19106648,44352.8352919248
"2007","2","9",65190.1336283036,5335.14893998359,59854.98468832,14506.0684827113
"2008","1","1",3040.2936984,0,3040.2936984,0
"2008","1","10",18535.6805146364,891.63128703839,17644.049227598,2083.46475227548
"2008","1","11",9767.01230397522,6206.21364169522,3560.79866228,37702.747874299
"2008","1","12",159070.112521281,13348.6281754807,145721.4843458,29133.1327967368
"2008","1","2",72937.4124915964,17998.4397500964,54938.9727415,59385.1518080161
"2008","1","3",61964.1300310245,23146.7796121775,38817.350418847,47986.5841401722
"2008","1","4",12082.1722579561,10940.6077177941,1141.564540162,45291.0570292621
"2008","1","5",17470.7565150613,4754.85088132635,12715.905633735,14589.4728719223
"2008","1","6",142360.40673589,16065.7011198025,126294.705616087,58294.6729353329
"2008","1","7",119550.011736258,14801.634061796,104748.377674462,43257.574242264
"2008","1","8",30047.7251521945,9719.05845497653,20328.666697218,24818.2223284301
"2008","1","9",135782.496058993,1131.91805195272,134650.578007024,4801.09374215967
"2008","2","1",593352.95050982,16335.75385216,577017.19665766,47959.6735491929
"2008","2","10",388029.460384874,7704.03575930136,380325.42462545,20677.2817119163
"2008","2","11",686885.058555597,12912.435105148,673972.623450449,26340.3739140518
"2008","2","12",937223.638960327,10947.3127998982,926276.326160453,42860.6080744167
"2008","2","2",336482.548255406,8018.68453026385,328463.86372518,22571.1037173164
"2008","2","3",415633.271278575,6920.34354507687,408712.927733928,15889.819920315
"2008","2","4",53180.8942382735,4072.94330804347,49107.95093023,9673.54788192527
"2008","2","5",782771.40839181,11628.6704392778,771142.73795252,29810.6924342949
"2008","2","6",397767.604716271,16984.8301593009,380782.77455697,44081.2609211243
"2008","2","7",550841.799151391,24621.9680598554,526219.83109149,69907.2648829454
"2008","2","8",170161.203758607,6469.50897407692,163691.69478453,16318.84276946
"2008","2","9",339564.209778038,4965.05142539781,334599.15835264,10546.0288847155
"2009","1","1",20970.5943099188,3057.21313725378,17913.381172665,5937.80534300104
"2009","1","10",745.912733715936,114.178161568936,631.734572147,323.496683661
"2009","1","11",21797.9542355,4546.0678625,17251.886373,9728.58522575
"2009","1","12",1552.40164182,543.340574637,1009.061067183,1341.27501853248
"2009","1","2",3.8053298984,0,3.8053298984,0
"2009","1","3",1226.89425033639,60.2939639063938,1166.60028643,318.352129437401
"2009","1","4",23617.7415869346,2244.69147520759,21373.050111727,12657.6356783905
"2009","1","5",61385.7260455591,7227.63198364706,54158.094061912,28880.2406806194
